9
杨高中路
世纪大道
4
商城路
2
小南门
4
陆家浜
3
马当路
2
打浦桥
2
嘉善路
2
肇嘉浜路
2
徐家汇
3
宜山路
3
桂林路
3
漕河泾开发区
3
合川路
2
星中路
3
七宝
3
中春路
3
九亭
4
泗泾
6
佘山
5
洞泾
3
松江大学城
4
松江新城
4
松江体育中心
3
醉白池
3
松江南站
4
