6
港城路
外高桥保税区北
2
航津路
3
外高桥保税区南
3
洲海路
3
五洲大道
2
东靖路
2
巨峰路
2
五莲路
2
博兴路
3
金桥路
2
云山路
2
德平路
3
北洋泾路
2
民生路
2
源深体育中心
3
世纪大道
2
浦电路6
3
蓝村路
2
上海儿童医学中心
3
临沂新村
2
高科西路
3
东明路
2
高青路
3
华夏西路
2
上南路
2
灵岩南路
2
东方体育中心
2
