12
金海路
申江路
4
金京路
2
杨高北路
2
巨峰路
3
东陆路
2
复兴岛
3
爱国路
2
隆昌路
2
宁国路
3
江浦公园
2
大连路
2
提篮桥
2
国际客运中心
2
天潼路
4
曲阜路
2
