8
沈杜公路
联航路
2
江月路
2
浦江镇
2
芦恒路
4
凌兆新村
3
东方体育中心
4
杨思
2
成山路
2
耀华路
2
中华艺术宫
2
西藏南路
3
陆家浜
2
老西门
2
大世界
2
人民广场
2
曲阜路
2
中兴路
2
西藏北路
3
虹口足球场
2
曲阳路
3
四平路
2
鞍山新村
2
江浦路
2
黄兴路
2
延吉中路
2
黄兴公园
2
翔殷路
2
嫩江路
2
市光路
1
