4
宜山路
上海体育馆
2
上海体育场
2
东安路
2
大木桥路
1
鲁班路
2
西藏南路
3
南浦大桥
2
塘桥
3
蓝村路
2
浦电路4
2
世纪大道
2
浦东大道
3
杨树浦路
2
大连路
2
临平路
2
海伦路
2
宝山路
3
上海火车站
3
中潭路
3
镇坪路
2
曹杨路
3
金沙江路
2
中山公园
2
延安西路
2
虹桥路
3
宜山路
2
