11
罗山路
御桥
3
浦三路
5
三林东
3
三林
2
东方体育中心
5
龙耀路
3
云锦路
2
龙华
2
上海游泳馆
3
徐家汇
3
交通大学
3
江苏路
3
隆德路
3
曹杨路
2
枫桥路
2
真如
2
上海西站
3
李子园
2
祁连山路
3
武威路
2
桃浦新村
2
南翔
4
马陆
6
嘉定新城
3
