2
浦东国际机场
海天三路
3
远东大道
7
凌空路
5
川沙
3
华夏东路
5
创新中路
3
唐镇
3
广兰路
4
金科路
3
张江高科
2
龙阳路
4
世纪公园
2
上海科技馆
2
世纪大道
3
东昌路
2
陆家嘴
3
南京东路
2
人民广场
3
南京西路
2
静安寺
3
江苏路
2
中山公园
3
娄山关路
3
威宁路
2
北新泾
3
淞虹路
2
虹桥2号航站楼
7
虹桥火车站
2
徐泾东
3
