7
花木路
龙阳路
3
芳华路
2
锦绣路
3
杨高南路
2
高科西路
3
云台路
2
耀华路
2
长清路
2
后滩
2
龙华中路
3
东安路
2
肇嘉浜路
2
常熟路
3
静安寺
2
昌平路
3
长寿路
2
镇坪路
2
岚皋路
3
新村路
2
大华三路
2
行知路
2
大场镇
2
场中路
3
上大路
2
南陈路
2
上海大学
3
祁华路
3
顾村公园
3
刘行
3
潘广路
2
罗南新村
4
美兰湖
2
